comm_id,prospect_id,campaign_id,comm_date,communication_type,opened_flag,clicked_flag,replied_flag
CM0474,PR0192,C008,2024-06-13,Email,0,0,0
CM0475,PR0057,C007,2024-07-25,Email,1,1,0
CM0476,PR0117,C008,2024-10-20,Call,0,0,0
CM0477,PR0127,C008,2024-06-10,Email,0,0,0
CM0478,PR0103,C007,2024-01-19,SMS,1,1,0
CM0479,PR0023,C005,2024-09-17,SMS,0,0,0
CM0480,PR0167,C008,2024-06-23,Call,0,0,0
CM0481,PR0057,C008,2024-06-18,SMS,0,0,0
CM0482,PR0115,C002,2024-02-19,SMS,1,1,0
CM0483,PR0000,C006,2024-06-30,SMS,0,0,0
CM0484,PR0027,C001,2024-03-25,Call,1,1,0
CM0485,PR0183,C007,2024-02-24,Call,0,0,0
CM0486,PR0048,C002,2024-07-20,Email,0,0,0
CM0487,PR0086,C002,2024-07-31,Email,1,1,0
CM0488,PR0197,C008,2024-08-22,SMS,0,0,0
CM0489,PR0127,C001,2024-09-28,SMS,0,0,0
CM0490,PR0141,C007,2024-10-26,Call,0,0,0
CM0491,PR0177,C003,2024-03-06,Email,0,0,0
CM0492,PR0082,C007,2024-08-02,SMS,1,1,1
CM0493,PR0070,C007,2024-06-24,Call,0,0,0
CM0494,PR0154,C005,2024-12-25,SMS,1,1,0
CM0495,PR0161,C004,2024-04-12,Email,1,1,1
CM0496,PR0033,C003,2024-09-14,SMS,1,1,1
CM0497,PR0143,C008,2024-10-25,SMS,1,1,1
CM0498,PR0136,C005,2024-08-04,Email,1,1,1
CM0499,PR0006,C007,2024-03-15,Email,0,0,0
